2019-01-06 16:09:49,602 [main] INFO  marytts.HMMSynthesizer Power-on self test complete.
2019-01-06 16:09:49,608 [main] INFO  marytts.TextToMaryXML Module started (TEXT->RAWMARYXML, locale null).
2019-01-06 16:09:49,608 [main] INFO  marytts.TextToMaryXML Starting power-on self test.
2019-01-06 16:09:49,610 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with de_DE
2019-01-06 16:09:49,611 [main] WARN  marytts.TextToMaryXML Locale is null, overriding with de_DE
2019-01-06 16:09:49,611 [main] INFO  marytts.TextToMaryXML Power-on self test complete.
2019-01-06 16:09:50,053 [main] INFO  marytts.SableParser Module started (SABLE->RAWMARYXML, locale null).
2019-01-06 16:09:50,054 [main] INFO  marytts.SableParser Starting power-on self test.
2019-01-06 16:09:50,056 [main] INFO  marytts.SableParser Power-on self test complete.
2019-01-06 16:09:50,325 [main] INFO  marytts.SSMLParser Module started (SSML->RAWMARYXML, locale null).
2019-01-06 16:09:50,325 [main] INFO  marytts.SSMLParser Starting power-on self test.
2019-01-06 16:09:50,325 [main] INFO  marytts.SSMLParser Power-on self test complete.
2019-01-06 16:09:50,410 [main] INFO  marytts.APMLParser Module started (APML->RAWMARYXML, locale null).
2019-01-06 16:09:50,410 [main] INFO  marytts.APMLParser Starting power-on self test.
2019-01-06 16:09:50,411 [main] INFO  marytts.APMLParser Power-on self test complete.
2019-01-06 16:09:50,442 [main] INFO  marytts.EmotionmlParser Module started (EMOTIONML->RAWMARYXML, locale null).
2019-01-06 16:09:50,442 [main] INFO  marytts.EmotionmlParser Starting power-on self test.
2019-01-06 16:09:50,443 [main] INFO  marytts.EmotionmlParser Power-on self test complete.
2019-01-06 16:09:50,443 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale null).
2019-01-06 16:09:50,456 [main] INFO  marytts.JTokeniser Starting power-on self test.
2019-01-06 16:09:50,457 [main] INFO  marytts.JTokeniser Power-on self test complete.
2019-01-06 16:09:50,457 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2019-01-06 16:09:50,457 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2019-01-06 16:09:50,457 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2019-01-06 16:09:50,460 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2019-01-06 16:09:50,460 [main] INFO  marytts.Prosody Starting power-on self test.
2019-01-06 16:09:50,460 [main] INFO  marytts.Prosody Power-on self test complete.
2019-01-06 16:09:50,461 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale null).
2019-01-06 16:09:50,461 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2019-01-06 16:09:50,461 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2019-01-06 16:09:50,461 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2019-01-06 16:09:50,461 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2019-01-06 16:09:50,461 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->HALFPHONE_TARGETFEATURES, locale null).
2019-01-06 16:09:50,461 [main] INFO  marytts.TargetFeatureLister Starting power-on self test.
2019-01-06 16:09:50,461 [main] INFO  marytts.TargetFeatureLister Power-on self test complete.
2019-01-06 16:09:50,461 [main] INFO  marytts.AcousticModeller Module started (ALLOPHONES->ACOUSTPARAMS, locale null).
2019-01-06 16:09:50,461 [main] INFO  marytts.AcousticModeller Starting power-on self test.
2019-01-06 16:09:50,462 [main] INFO  marytts.AcousticModeller Power-on self test complete.
2019-01-06 16:09:50,462 [main] INFO  marytts.Realised acoustparams extractor Module started (AUDIO->REALISED_ACOUSTPARAMS, locale null).
2019-01-06 16:09:50,462 [main] INFO  marytts.Realised acoustparams extractor Starting power-on self test.
2019-01-06 16:09:50,462 [main] INFO  marytts.Realised acoustparams extractor Power-on self test complete.
2019-01-06 16:09:50,462 [main] INFO  marytts.Realised durations extractor Module started (AUDIO->REALISED_DURATIONS, locale null).
2019-01-06 16:09:50,462 [main] INFO  marytts.Realised durations extractor Starting power-on self test.
2019-01-06 16:09:50,462 [main] INFO  marytts.Realised durations extractor Power-on self test complete.
2019-01-06 16:09:50,462 [main] INFO  marytts.Praat TextGrid generator Module started (REALISED_ACOUSTPARAMS->PRAAT_TEXTGRID, locale null).
2019-01-06 16:09:50,462 [main] INFO  marytts.Praat TextGrid generator Starting power-on self test.
2019-01-06 16:09:50,462 [main] INFO  marytts.Praat TextGrid generator Power-on self test complete.
2019-01-06 16:09:50,463 [main] INFO  marytts.main Startup complete.
2019-01-06 16:09:55,107 [Thread-3] INFO  marytts.main Shutting down modules...
2019-01-06 16:09:55,107 [Thread-3] INFO  marytts.JTokeniser Module shut down.
2019-01-06 16:09:55,107 [Thread-3] INFO  marytts.Preprocess Module shut down.
2019-01-06 16:09:55,107 [Thread-3] INFO  marytts.JPhonemiser Module shut down.
2019-01-06 16:09:55,107 [Thread-3] INFO  marytts.JPhonemiser Module shut down.
2019-01-06 16:09:55,108 [Thread-3] INFO  marytts.Prosody Module shut down.
2019-01-06 16:09:55,108 [Thread-3] INFO  marytts.SimplePhoneme2AP Module shut down.
2019-01-06 16:09:55,108 [Thread-3] INFO  marytts.PronunciationModel Module shut down.
2019-01-06 16:09:55,108 [Thread-3] INFO  marytts.OpenNLPPosTagger Module shut down.
2019-01-06 16:09:55,108 [Thread-3] INFO  marytts.JTokeniser Module shut down.
2019-01-06 16:09:55,108 [Thread-3] INFO  marytts.Preprocess Module shut down.
2019-01-06 16:09:55,108 [Thread-3] INFO  marytts.OpenNLPPosTagger Module shut down.
2019-01-06 16:09:55,119 [Thread-3] INFO  marytts.Prosody Module shut down.
2019-01-06 16:09:55,119 [Thread-3] INFO  marytts.PronunciationModel Module shut down.
2019-01-06 16:09:55,119 [Thread-3] INFO  marytts.SimplePhoneme2AP Module shut down.
2019-01-06 16:09:55,119 [Thread-3] INFO  marytts.JPhonemiser Module shut down.
2019-01-06 16:09:55,119 [Thread-3] INFO  marytts.Preprocess Module shut down.
2019-01-06 16:09:55,119 [Thread-3] INFO  marytts.OpenNLPPosTagger Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.Synthesis Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.TextToMaryXML Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.SableParser Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.SSMLParser Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.APMLParser Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.EmotionmlParser Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.JTokeniser Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.DummyTokens2Words Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.Prosody Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.PronunciationModel Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.TargetFeatureLister Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.TargetFeatureLister Module shut down.
2019-01-06 16:09:55,120 [Thread-3] INFO  marytts.AcousticModeller Module shut down.
2019-01-06 16:09:55,121 [Thread-3] INFO  marytts.Realised acoustparams extractor Module shut down.
2019-01-06 16:09:55,121 [Thread-3] INFO  marytts.Realised durations extractor Module shut down.
2019-01-06 16:09:55,121 [Thread-3] INFO  marytts.HTSEngine Module shut down.
2019-01-06 16:09:55,121 [Thread-3] INFO  marytts.Praat TextGrid generator Module shut down.
2019-01-06 16:09:55,122 [Thread-3] INFO  marytts.main Shutdown complete.
